product_id,product_name,category,subcategory,price,cost,is_plus_eligible
1,ComfortStep Shoes V2,clothing,shoes,81.65,52.74,False
2,FieldPro Team Sports Plus,sports,team_sports,5.99,3.34,False
3,VitaBoost Supplements SE,beauty,supplements,10.0,6.99,False
4,Sport Headphones X,electronics,headphones,15.83,6.54,True
5,Plant Based Cooking Max,books,cooking,106.59,55.47,True
6,ImmunePlus Supplements SE,beauty,supplements,41.52,20.64,True
7,OceanBreeze Fragrance,beauty,fragrance,61.18,41.88,True
8,TechGrip Accessories Set,electronics,accessories,13.3,7.62,True
9,PufferWarm Outerwear,clothing,outerwear,13.52,8.68,True
10,ChefPro Kitchen SE,home,kitchen,47.38,21.37,False
11,The 7 Self Help,books,self_help,34.7,24.07,True
12,ComfyJog Pants,clothing,pants,51.37,28.23,True
13,GymSet Fitness V2,sports,fitness,28.5,15.62,False
14,RainReady Outerwear Max,clothing,outerwear,41.37,28.6,True
15,SmartBulb Lighting V2,home,lighting,37.58,19.32,True
16,CocktailHour Dresses Plus,clothing,dresses,61.7,32.04,True
17,MirrorLess Cameras Pro,electronics,cameras,63.16,36.34,False
18,LightFoot Running Shoes Max,sports,running_shoes,9.06,3.97,True
19,LayerUp Tops,clothing,tops,5.99,2.97,True
20,GlowSerum Skincare,beauty,skincare,73.8,33.8,True
21,LuxComfort Bedding SE,home,bedding,85.64,36.91,True
22,Simple and Cooking,books,cooking,14.64,9.66,True
23,BalanceSet Yoga SE,sports,yoga,7.48,4.31,True
24,TravelEssentials Tools Plus,beauty,tools,35.85,18.2,True
25,Sport Headphones Pro,electronics,headphones,69.73,36.44,True
26,ClassicTee Tops V2,clothing,tops,139.5,73.86,True
27,ProBook Laptops Ultra,electronics,laptops,50.05,29.53,True
28,StudyTab Tablets Pro 12,electronics,tablets,24.6,16.68,True
29,VolumeBoost Haircare SE,beauty,haircare,16.21,11.02,False
30,SilkShine Haircare Plus,beauty,haircare,33.42,17.29,True
31,The Art of Nonfiction SE,books,nonfiction,26.06,13.0,True
32,FreshAir Cleaning,home,cleaning,14.7,7.87,False
33,ChefPro Kitchen Pro,home,kitchen,170.55,97.28,True
34,ComfortFit Tops Pro,clothing,tops,138.12,74.38,True
35,DockStation Accessories Kit,electronics,accessories,82.17,49.11,True
36,DeskTone Speakers Pro,electronics,speakers,15.85,8.98,True
37,ActiveWear Tops Pro,clothing,tops,65.63,32.57,True
38,StackBox Storage Max,home,storage,55.24,27.83,False
39,BeautyKit Tools SE,beauty,tools,47.18,24.23,True
40,StrideMax Shoes,clothing,shoes,89.99,38.55,True
41,MindfulKit Yoga Max,sports,yoga,55.05,24.76,True
42,SilkShine Haircare V2,beauty,haircare,59.86,36.93,True
43,SpaceSaver Storage V2,home,storage,55.12,28.48,True
44,CycleSafe Cycling V2,sports,cycling,43.49,20.2,True
45,LightFoot Running Shoes Pro,sports,running_shoes,7.95,4.52,True
46,FreshKeep Kitchen Pro,home,kitchen,35.41,22.19,True
47,ModernVase Decor Pro,home,decor,21.22,10.13,True
48,ProBrush Tools V2,beauty,tools,11.9,7.71,True
49,Sport Headphones Pro 33,electronics,headphones,127.16,86.25,True
50,StudyTab Tablets Mini,electronics,tablets,132.05,76.49,True
51,ActionCam Cameras Pro,electronics,cameras,98.24,59.01,True
52,NightBloom Fragrance Max,beauty,fragrance,40.62,16.89,True
53,PureOmega Supplements V2,beauty,supplements,97.56,66.7,True
54,AgeLess Skincare V2,beauty,skincare,33.44,17.31,True
55,ImmunePlus Supplements,beauty,supplements,38.95,26.38,True
56,CasualChic Dresses Plus,clothing,dresses,13.81,7.92,True
57,StrideMax Shoes Pro,clothing,shoes,45.49,18.26,True
58,MirrorLess Cameras X100,electronics,cameras,34.75,14.3,False
